Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Ipanema;1;0;0;35;2000.0;650;75
Apartamento;Ipanema;1;0;0;38;1400.0;530;77
Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160;157
Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300;434
Apartamento;Ipanema;3;1;0;87;3200.0;1305;217
Apartamento;Méier;3;1;0;90;1550.0;844;80
Apartamento;Vargem Pequena;3;1;0;53;1400.0;385;28
Apartamento;Botafogo;3;1;1;108;5950.0;1405;289
Apartamento;Maracanã;2;0;0;86;1800.0;600;82
Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675;200
Apartamento;Jacarepaguá;3;1;1;74;1900.0;556;98
Apartamento;Ipanema;3;2;1;150;8000.0;2400;0
Apartamento;Ipanema;3;1;1;140;7900.0;2900;500
Casa;Méier;2;0;0;51;1500.0;50;0
Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170;0
Apartamento;Cachambi;2;0;0;60;1000.0;380;280
Casa de Condomínio;Freguesia (Jacarepaguá);5;3;1;140;2500.0;1200;0
Apartamento;Leblon;2;1;1;80;3500.0;990;245
Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364;406
Apartamento;Vila Valqueire;2;1;0;45;800.0;280;14
Apartamento;Gávea;2;1;0;70;2800.0;680;98
Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300;2042
Apartamento;Centro;1;1;0;37;1100.0;540;900
Apartamento;Cosme Velho;3;4;0;130;5500.0;1407;246
Apartamento;Bonsucesso;2;1;0;77;1500.0;740;0
Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400;190
Apartamento;Todos os Santos;3;1;1;78;1450.0;630;73
Apartamento;Laranjeiras;2;1;0;54;2300.0;582;0
Quitinete;Centro;0;0;0;30;800.0;505;0
Apartamento;Jacarepaguá;2;1;1;69;2000.0;780;0
Apartamento;Ipanema;3;1;1;120;7000.0;1800;370
Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300;138
Apartamento;Itanhangá;2;1;0;60;1000.0;450;150
Apartamento;Recreio dos Bandeirantes;2;1;1;90;2400.0;1700;135
Apartamento;Humaitá;2;1;0;86;4000.0;1259;188
Quitinete;Flamengo;0;0;0;28;1000.0;581;53
Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870;143
Apartamento;Praça Seca;2;0;0;80;1000.0;0;0
Apartamento;Tijuca;2;1;0;80;1800.0;1100;84
Casa de Vila;Piedade;2;1;0;70;1300.0;0;0
Apartamento;Tijuca;3;1;0;172;2700.0;780;170
Apartamento;Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535;3900
Apartamento;Ipanema;3;1;1;145;8000.0;14768;4394
Apartamento;Olaria;2;1;0;53;1100.0;160;0
Quitinete;Copacabana;1;0;0;29;1200.0;460;0
Apartamento;Botafogo;2;1;1;83;2800.0;560;138
Apartamento;Botafogo;2;1;1;80;4300.0;1178;187
Apartamento;Leblon;3;2;1;147;7500.0;1028;247
Apartamento;Copacabana;2;1;0;67;3500.0;950;160
Apartamento;Barra da Tijuca;4;3;2;220;7500.0;3911;716
Apartamento;Catete;2;0;0;77;2400.0;1130;140
Apartamento;Jardim Carioca;2;1;0;55;1350.0;430;47
Casa;Maracanã;8;3;5;259;7000.0;0;0
Apartamento;Leblon;3;1;0;85;3900.0;800;1211
Apartamento;Catete;2;0;0;75;3350.0;455;0
Apartamento;Recreio dos Bandeirantes;3;2;1;90;1200.0;880;144
Casa;Benfica;1;0;0;33;1200.0;0;0
Quitinete;Glória;1;0;0;16;1400.0;300;210
Apartamento;Praça Seca;2;0;0;80;900.0;350;0
Apartamento;Vila Isabel;1;0;0;37;1000.0;285;24
Apartamento;Copacabana;3;0;0;150;5500.0;1780;420
Apartamento;Lagoa;3;1;1;127;5000.0;1540;370
Apartamento;Freguesia (Jacarepaguá);2;1;1;74;1700.0;652;104
Apartamento;Barra da Tijuca;3;2;1;128;3000.0;1384;324
Apartamento;Gávea;3;1;1;160;8000.0;2000;0
Apartamento;Copacabana;3;1;1;200;6200.0;1800;420
Apartamento;Barra da Tijuca;2;1;0;58;1500.0;666;106
Apartamento;Botafogo;3;1;1;100;5500.0;1300;220
Apartamento;Barra da Tijuca;4;2;3;320;5500.0;2700;800
Apartamento;Rocha Miranda;2;1;0;50;1100.0;0;0
Apartamento;Recreio dos Bandeirantes;2;1;1;75;1000.0;1040;112
Apartamento;Ipanema;2;0;2;52;10000.0;3689;393
Apartamento;Recreio dos Bandeirantes;3;2;1;104;2200.0;740;258
Apartamento;Barra da Tijuca;2;1;1;72;2600.0;1700;237
Apartamento;Taquara;2;1;0;75;1200.0;330;75
Apartamento;Botafogo;4;1;1;190;5500.0;1720;350
Quitinete;Catete;0;0;0;20;700.0;500;28
Apartamento;Méier;2;0;0;56;899.0;402;135
Apartamento;Freguesia (Jacarepaguá);2;1;1;71;1200.0;600;54
Apartamento;Lagoa;3;1;2;105;3600.0;1100;281
Apartamento;Tijuca;3;0;0;87;1600.0;650;100
Apartamento;Botafogo;1;0;0;35;1500.0;470;50
Apartamento;Barra da Tijuca;1;1;1;65;2350.0;0;0
Apartamento;Copacabana;3;0;0;100;3300.0;850;90
Apartamento;Barra da Tijuca;3;1;2;93;2500.0;1100;0
Apartamento;Engenho Novo;2;2;0;78;800.0;915;55
Apartamento;Barra da Tijuca;2;1;1;85;2500.0;1573;197
Apartamento;Leblon;2;1;1;115;7500.0;980;270
Apartamento;Botafogo;2;1;1;70;3700.0;1133;147
Apartamento;Freguesia (Jacarepaguá);2;1;1;95;1600.0;650;0
Apartamento;Campo Grande;2;0;0;60;1200.0;570;0
Apartamento;Flamengo;1;0;0;40;1900.0;430;54
Apartamento;Engenho de Dentro;3;1;1;61;1400.0;498;0
Apartamento;Copacabana;3;2;1;250;7000.0;1500;434
Flat;Copacabana;1;1;0;63;3600.0;1215;0
Flat;Leblon;1;0;1;50;4500.0;1300;150
Apartamento;Copacabana;3;1;0;140;3700.0;1347;0
Apartamento;Copacabana;2;0;0;50;2500.0;750;760
Casa;Jardim Carioca;3;2;1;135;3000.0;0;0
Apartamento;Tijuca;3;1;1;78;2500.0;730;178
Quitinete;Centro;0;0;0;28;700.0;400;16
Apartamento;Lagoa;3;1;1;75;4000.0;1250;309
Apartamento;Recreio dos Bandeirantes;3;2;1;102;1850.0;882;0
Apartamento;Tijuca;1;0;0;65;1200.0;320;0
Apartamento;Barra da Tijuca;2;1;0;60;1500.0;1266;233
Apartamento;Maracanã;3;2;3;158;2400.0;1265;0
Apartamento;Barra da Tijuca;2;1;1;83;2000.0;1548;260
Apartamento;Laranjeiras;5;2;1;400;9000.0;3000;0
Apartamento;Barra da Tijuca;3;1;1;84;1900.0;1103;212
Apartamento;Freguesia (Jacarepaguá);3;1;1;77;1600.0;850;165
Apartamento;Tijuca;3;0;0;75;1800.0;350;0
Apartamento;Ipanema;3;1;1;126;5500.0;1400;2000
Casa;Lins de Vasconcelos;2;0;0;40;950.0;0;50
Apartamento;Freguesia (Jacarepaguá);3;3;2;173;3200.0;1800;0
Apartamento;Tijuca;2;1;1;71;1500.0;600;0
Apartamento;Barra da Tijuca;2;1;1;81;1900.0;1200;121
Apartamento;Leblon;3;1;0;87;3800.0;970;273
Casa de Condomínio;Recreio dos Bandeirantes;4;4;4;267;6500.0;700;3308
Apartamento;Laranjeiras;4;1;2;288;7000.0;1870;582
Apartamento;Recreio dos Bandeirantes;1;1;1;102;1900.0;688;0
Apartamento;Leblon;2;1;0;70;4200.0;1100;200
Apartamento;Cidade Nova;1;0;0;46;1000.0;0;0
Apartamento;Pilares;3;0;0;65;1200.0;350;16
Apartamento;Barra da Tijuca;3;3;2;169;6500.0;1886;450
Quitinete;Copacabana;1;0;0;23;1000.0;562;0
Apartamento;Laranjeiras;3;1;1;90;2400.0;1311;0
Apartamento;Tijuca;2;0;0;50;1800.0;347;25
Apartamento;Olaria;1;0;0;39;800.0;0;0
Apartamento;Ipanema;3;1;1;140;6500.0;1800;506
Apartamento;Campo Grande;2;0;0;60;800.0;380;0
Casa;Tijuca;4;1;1;191;4000.0;300;0
Apartamento;Centro;1;0;0;35;1350.0;420;24
Apartamento;Tijuca;2;0;0;63;1400.0;440;61
Casa de Condomínio;São Conrado;3;2;1;250;5500.0;750;500
Apartamento;Copacabana;3;1;0;112;3800.0;1123;286
Apartamento;Leblon;3;0;1;85;8500.0;0;1719
Apartamento;Tijuca;3;1;0;129;1800.0;850;116
Apartamento;Barra da Tijuca;4;3;3;160;8600.0;2300;250
Apartamento;Recreio dos Bandeirantes;2;1;1;93;1400.0;1300;0
Apartamento;Freguesia (Jacarepaguá);3;1;1;93;1800.0;650;95
Apartamento;Barra da Tijuca;1;1;1;60;2200.0;1600;350
Apartamento;Taquara;2;2;0;55;790.0;350;0
Quitinete;Centro;1;0;0;33;990.0;463;25
Apartamento;Copacabana;2;0;0;54;1800.0;590;0
Flat;Arpoador;1;1;1;55;3000.0;1865;337
Apartamento;Catete;2;1;1;70;3300.0;1365;180
Apartamento;Copacabana;5;1;3;390;10000.0;1000;1000
Apartamento;Maracanã;2;1;0;53;1300.0;492;16
Apartamento;Tomás Coelho;2;0;0;70;800.0;0;0
Apartamento;Botafogo;1;0;0;35;1000.0;293;86
Apartamento;Tijuca;3;1;0;164;3500.0;1310;257
Apartamento;Jacarepaguá;2;1;1;60;1200.0;524;13
Apartamento;Água Santa;2;1;0;50;850.0;280;12
Apartamento;Botafogo;2;1;1;79;4315.0;1110;187
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;615;3
Apartamento;Tijuca;1;0;0;36;1300.0;295;24
Apartamento;Jardim Oceânico;4;4;3;190;5700.0;1069;808
Apartamento;Freguesia (Jacarepaguá);3;1;0;84;1500.0;900;0
Apartamento;São Cristóvão;2;0;0;50;1000.0;600;0
Quitinete;Copacabana;1;0;0;26;1400.0;370;21
Apartamento;Ilha do Governador;3;1;0;83;1500.0;440;132
Apartamento;Olaria;2;0;0;90;1000.0;150;0
Apartamento;Humaitá;1;0;0;57;3990.0;860;100
Apartamento;Maracanã;3;1;0;95;2500.0;600;80
Casa de Vila;Jardim Sulacap;2;1;2;115;1600.0;1;60
Apartamento;Barra da Tijuca;2;1;1;63;1900.0;824;0
Apartamento;Gávea;2;1;1;100;3900.0;1300;320
Apartamento;Ipanema;3;2;1;165;7500.0;2200;532
Apartamento;Ipanema;3;2;2;160;6000.0;3500;4600
Apartamento;Flamengo;1;1;0;48;2100.0;580;70
Apartamento;Leblon;2;1;1;87;4800.0;1300;361
Casa de Vila;Oswaldo Cruz;1;0;1;40;800.0;0;0
Apartamento;Barra da Tijuca;3;1;1;105;2500.0;1400;1500
Casa de Condomínio;Freguesia (Jacarepaguá);2;1;0;163;1800.0;92;46
Quitinete;Copacabana;1;0;0;30;1300.0;370;30
Apartamento;Barra da Tijuca;3;1;1;80;3500.0;1410;270
Apartamento;Botafogo;3;1;1;102;5100.0;1300;0
Apartamento;Gávea;3;0;1;120;2700.0;880;238
Apartamento;Humaitá;2;2;1;112;4500.0;1300;0
Apartamento;Vila da Penha;2;0;0;60;900.0;160;25
Apartamento;Lagoa;1;1;0;75;2800.0;800;210
Apartamento;Ipanema;3;1;1;125;7000.0;2100;463
Apartamento;Engenho Novo;2;0;0;53;1400.0;460;12
Apartamento;Recreio dos Bandeirantes;3;3;1;132;2800.0;879;0
Loft;Barra da Tijuca;1;1;1;78;2700.0;1370;188
Apartamento;Barra da Tijuca;2;2;1;86;3500.0;1307;0
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1700.0;690;150
Apartamento;Recreio dos Bandeirantes;4;2;2;200;3600.0;1177;320
Apartamento;Barra da Tijuca;2;1;1;77;2500.0;830;156
Apartamento;Engenho Novo;1;1;0;63;700.0;625;36
Casa;Grajaú;5;4;2;450;7000.0;0;500
Apartamento;Barra da Tijuca;4;2;2;149;4500.0;2130;0
Apartamento;Recreio dos Bandeirantes;3;2;2;106;2500.0;780;248
Apartamento;Anil;2;1;0;48;1100.0;400;0
Apartamento;Gávea;2;1;1;68;2700.0;850;186
Apartamento;Barra da Tijuca;2;1;1;75;1400.0;1280;0
Apartamento;Ipanema;2;1;1;97;7000.0;4000;4725
Casa de Condomínio;Vargem Grande;2;2;1;90;1700.0;618;338
Apartamento;Cachambi;3;0;0;70;900.0;200;30
Quitinete;Leblon;1;0;0;30;1700.0;560;62
Apartamento;Copacabana;4;2;1;279;3150.0;2025;370
Casa;Tanque;2;1;0;59;1200.0;170;0
Apartamento;Cachambi;2;1;0;70;950.0;530;30
Casa;Campo Grande;3;0;0;200;2100.0;0;0
Apartamento;Recreio dos Bandeirantes;4;2;1;400;3500.0;800;500
Apartamento;Recreio dos Bandeirantes;2;1;1;89;1800.0;884;170
Apartamento;Maracanã;1;1;1;120;1000.0;985;150
Apartamento;Recreio dos Bandeirantes;4;3;2;181;3500.0;1080;423
Apartamento;Tijuca;2;1;1;70;1500.0;890;68
Apartamento;Vaz Lobo;2;0;0;70;1000.0;32;0
Apartamento;Madureira;2;0;0;40;600.0;415;0
Apartamento;Recreio dos Bandeirantes;2;0;0;75;1700.0;659;0
Apartamento;Copacabana;2;1;1;81;2900.0;893;190
Casa;Bonsucesso;2;0;0;51;1000.0;0;0
Apartamento;Campo Grande;2;0;1;58;1000.0;0;0
Flat;Humaitá;1;1;0;55;2000.0;1232;176
Apartamento;Praça Seca;3;0;0;90;900.0;330;15
Apartamento;Vila Isabel;3;3;1;124;1700.0;1400;0
Apartamento;Recreio dos Bandeirantes;5;3;4;430;6000.0;899;750
Apartamento;Ipanema;2;0;1;75;5200.0;476;120
Apartamento;Freguesia (Jacarepaguá);3;2;1;126;1500.0;1000;150
Apartamento;Laranjeiras;2;1;1;70;2300.0;620;190
Apartamento;Recreio dos Bandeirantes;3;2;1;94;1900.0;1300;198
Apartamento;Barra da Tijuca;4;3;4;192;5000.0;2200;562
Apartamento;Copacabana;1;0;0;43;1600.0;452;242
Apartamento;Barra da Tijuca;2;1;1;70;2200.0;780;0
Apartamento;São Francisco Xavier;3;1;1;73;1200.0;520;0
Apartamento;Copacabana;3;0;0;120;3000.0;1420;0
Casa de Condomínio;Vargem Grande;5;4;5;300;5000.0;1500;250
Apartamento;Pechincha;2;1;0;64;800.0;248;14
Apartamento;Copacabana;1;0;0;45;2800.0;450;30
Apartamento;Laranjeiras;2;0;0;110;2500.0;968;167
Apartamento;Flamengo;2;0;0;85;2700.0;800;1150
Apartamento;Leme;3;1;1;175;8000.0;1380;0
Casa;Engenho Novo;2;0;0;70;1100.0;0;0
Apartamento;Jacarepaguá;2;1;0;68;1100.0;540;0
Apartamento;Humaitá;2;1;0;64;2500.0;520;0
Apartamento;Copacabana;1;0;1;37;2500.0;447;20
Apartamento;Copacabana;4;2;2;240;10000.0;2000;700
Casa de Condomínio;Barra da Tijuca;4;3;2;188;6000.0;1022;0
Apartamento;Barra da Tijuca;14;2;2;212;5000.0;1200;650
Apartamento;Irajá;2;1;0;65;1100.0;255;0
Apartamento;Barra da Tijuca;2;2;1;105;3000.0;1500;0
Apartamento;Vila Isabel;2;1;0;70;1100.0;550;0
Apartamento;Gávea;3;1;1;108;5000.0;1769;226
Apartamento;Recreio dos Bandeirantes;2;1;2;85;2300.0;1350;125
Apartamento;Catete;1;0;0;45;1600.0;500;55
Quitinete;Copacabana;1;0;0;15;1100.0;600;0
Apartamento;Barra da Tijuca;3;2;3;160;7000.0;1087;455
Casa de Vila;Quintino Bocaiúva;2;1;0;48;750.0;0;0
Apartamento;Lagoa;3;2;1;130;5000.0;1000;300
Apartamento;Freguesia (Jacarepaguá);3;2;1;100;2100.0;780;140
Apartamento;Freguesia (Jacarepaguá);3;2;3;180;5500.0;1200;318
Apartamento;Copacabana;3;0;0;80;2500.0;800;157
Casa de Condomínio;Barra da Tijuca;3;0;2;367;6000.0;510;423
Apartamento;Recreio dos Bandeirantes;3;1;1;85;1900.0;450;112
Casa;Jardim Botânico;2;4;1;107;9500.0;0;1091
Apartamento;Barra da Tijuca;5;4;3;171;9000.0;2000;3500
Apartamento;Centro;1;0;0;42;2200.0;619;202
Apartamento;Méier;2;1;0;62;1000.0;600;38
Quitinete;Leblon;1;0;0;25;1950.0;360;58
Apartamento;Grajaú;2;0;0;65;1400.0;415;21
Apartamento;Copacabana;1;0;0;43;1800.0;639;76
Apartamento;Lagoa;2;1;1;80;2200.0;2600;420
Apartamento;Flamengo;2;1;0;57;2800.0;832;98
Apartamento;Campo Grande;3;1;1;98;1800.0;950;0
Apartamento;Jardim Botânico;3;1;2;170;6000.0;860;540
Apartamento;Ipanema;1;0;1;50;2400.0;897;26
Quitinete;Copacabana;1;0;0;35;1700.0;400;55
Apartamento;Recreio dos Bandeirantes;3;2;1;150;2500.0;1012;0
Apartamento;Copacabana;2;0;0;65;2700.0;710;130
Apartamento;Recreio dos Bandeirantes;4;3;2;300;4500.0;1500;580
Apartamento;Recreio dos Bandeirantes;2;2;1;115;1900.0;661;0
Casa de Vila;Jacarepaguá;3;1;0;100;2000.0;100;0
Apartamento;Recreio dos Bandeirantes;3;3;1;110;1500.0;873;0
Casa de Condomínio;Barra da Tijuca;4;2;4;280;8500.0;750;620
Apartamento;Tijuca;3;1;0;88;2300.0;790;885
Apartamento;Ipanema;3;1;1;145;7200.0;2900;500
Apartamento;Urca;1;0;0;53;2800.0;770;0
Apartamento;Ipanema;3;1;1;116;5000.0;1600;316
Apartamento;Tijuca;3;1;0;116;2000.0;790;194
Apartamento;Vila Isabel;3;0;0;82;1200.0;664;86
Quitinete;Glória;1;0;1;26;850.0;321;29
Apartamento;Barra da Tijuca;3;2;1;130;4800.0;1700;433
Apartamento;Freguesia (Jacarepaguá);3;1;1;90;1700.0;595;0
Apartamento;Flamengo;2;1;0;68;2000.0;536;148
Apartamento;Copacabana;1;0;0;60;2800.0;620;128
Apartamento;Taquara;2;1;0;53;1100.0;450;150
Apartamento;Penha;2;0;0;64;950.0;180;0
Apartamento;Jardim Botânico;3;1;1;130;6400.0;1500;0
Apartamento;Leblon;2;1;0;90;3500.0;1300;200
Apartamento;Leblon;4;2;4;200;8500.0;2710;945
Apartamento;Tijuca;1;1;1;84;2000.0;718;120
Quitinete;Gardênia Azul;1;0;0;20;485.0;0;0
Apartamento;Flamengo;1;0;0;30;1490.0;315;55
Apartamento;Maracanã;2;0;0;79;1700.0;600;0
Apartamento;Copacabana;1;1;0;150;3000.0;1200;390
Apartamento;Barra da Tijuca;3;2;3;156;5500.0;2300;398
Apartamento;Flamengo;1;0;1;38;1450.0;690;55
Apartamento;Botafogo;2;0;0;115;2200.0;1045;190
Apartamento;Tijuca;2;0;0;49;1800.0;180;0
Apartamento;Jacarepaguá;2;1;1;80;1900.0;1350;100
Apartamento;Copacabana;2;0;0;120;3800.0;1000;197
Apartamento;Barra da Tijuca;2;1;1;70;1800.0;681;120
Apartamento;Bonsucesso;3;1;0;98;2800.0;390;0
Apartamento;Barra da Tijuca;2;1;1;70;3240.0;950;0
Apartamento;Flamengo;2;1;0;90;3200.0;980;0
Apartamento;Ipanema;2;0;0;99;3300.0;920;0
Apartamento;Copacabana;3;1;0;80;3100.0;700;1208
Apartamento;Copacabana;2;1;0;74;2600.0;1021;0
Apartamento;Humaitá;2;1;0;75;2900.0;926;90
Apartamento;Barra da Tijuca;4;3;4;250;9500.0;2800;523
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;770;108
Apartamento;Recreio dos Bandeirantes;3;4;1;217;3300.0;947;547
Casa;Campo Grande;2;1;2;100;1500.0;0;30
Apartamento;São Conrado;3;2;1;140;4700.0;1620;515
Apartamento;Barra da Tijuca;4;3;2;260;7500.0;3550;350
Apartamento;Laranjeiras;2;0;0;85;2100.0;700;95
Apartamento;Rio Comprido;2;1;0;69;1900.0;600;70
Apartamento;Freguesia (Jacarepaguá);1;1;0;49;1050.0;580;36
Apartamento;Andaraí;2;1;0;56;1900.0;607;89
Casa;Vargem Grande;2;1;0;70;1900.0;580;25
Apartamento;Barra da Tijuca;4;3;3;180;7000.0;1935;449
Apartamento;Copacabana;2;0;0;81;3000.0;770;159
Apartamento;Barra da Tijuca;2;1;1;88;2400.0;1313;0
Apartamento;Vargem Pequena;2;1;1;80;1100.0;650;0
Casa de Condomínio;Tanque;2;0;1;100;1500.0;160;80
Apartamento;Ipanema;3;3;3;169;9000.0;2300;886
Apartamento;Quintino Bocaiúva;2;0;0;67;900.0;320;0
Apartamento;Leblon;3;1;0;74;3300.0;700;83
Apartamento;Copacabana;2;0;0;110;2800.0;800;120
Apartamento;Leme;1;0;0;31;1140.0;420;24
Apartamento;Recreio dos Bandeirantes;2;2;1;90;1500.0;720;199
Casa;Santa Teresa;5;3;0;260;7000.0;0;163
Apartamento;Barra da Tijuca;2;1;0;70;2400.0;1800;150
Casa de Condomínio;Recreio dos Bandeirantes;4;3;4;198;4500.0;1160;3012
Apartamento;Inhaúma;3;1;0;60;750.0;236;0
Apartamento;Glória;1;0;0;48;1400.0;480;20
Apartamento;Copacabana;5;1;1;400;8500.0;2160;365
Apartamento;Ipanema;2;1;0;45;3000.0;575;25
Apartamento;Pechincha;2;1;0;65;950.0;640;126
Apartamento;Leblon;2;0;0;100;3800.0;900;195
Apartamento;Grajaú;3;2;1;90;2950.0;700;100
Apartamento;Marechal Hermes;2;1;0;70;850.0;200;0
Apartamento;Grajaú;1;0;0;30;800.0;283;187
Apartamento;Praça Seca;2;1;1;63;1100.0;361;0
Apartamento;Recreio dos Bandeirantes;2;2;1;72;1580.0;900;140
Apartamento;Laranjeiras;2;0;0;51;1900.0;450;25
Apartamento;Botafogo;1;0;0;17;1100.0;330;15
Apartamento;Botafogo;3;0;0;100;6050.0;1155;234
Apartamento;Lagoa;2;1;1;90;2700.0;1350;250
Apartamento;Piedade;2;1;0;83;950.0;0;13
Apartamento;Lagoa;3;3;3;230;6000.0;4600;990
Apartamento;Pechincha;2;1;1;62;1700.0;500;67
Apartamento;Leblon;2;2;1;113;3500.0;1365;387
Apartamento;Flamengo;1;0;0;49;1700.0;440;68
Apartamento;Méier;1;0;0;53;900.0;484;37
Apartamento;Vila Isabel;2;1;0;63;1300.0;500;0
Casa;Vila da Penha;1;0;0;40;850.0;0;0
Quitinete;Copacabana;1;0;0;30;2600.0;500;0
Quitinete;Copacabana;1;0;0;30;3200.0;400;50
Quitinete;Centro;1;0;1;15;750.0;0;0
Apartamento;Humaitá;3;1;0;95;2300.0;1300;120
Apartamento;Flamengo;1;0;0;37;2300.0;485;56
Apartamento;Curicica;1;1;0;45;700.0;356;126
Apartamento;Barra da Tijuca;2;1;0;90;2000.0;980;1600
Apartamento;Barra da Tijuca;1;1;1;80;1700.0;980;250
Casa;Vaz Lobo;1;0;0;35;400.0;0;0
Apartamento;Barra da Tijuca;2;1;1;70;2200.0;1000;70
Apartamento;Barra da Tijuca;4;3;1;190;5500.0;1600;435
Apartamento;Copacabana;3;1;0;140;3500.0;1250;0
Apartamento;Tijuca;1;1;1;87;1400.0;1057;162
Apartamento;Barra da Tijuca;4;3;2;210;5300.0;2080;500
Casa de Condomínio;Santíssimo;2;1;0;70;800.0;200;0
Apartamento;Méier;1;0;0;50;1000.0;390;16
Apartamento;Flamengo;4;1;0;240;6000.0;2050;701
Apartamento;Ipanema;3;1;1;140;7200.0;2900;500
Apartamento;Jardim Botânico;2;1;1;86;4100.0;830;257
Apartamento;Recreio dos Bandeirantes;4;3;4;203;6000.0;1200;420
Apartamento;Leblon;3;1;0;110;6200.0;885;0
Apartamento;Tijuca;2;1;0;60;1800.0;420;0
Flat;Botafogo;1;1;1;50;2500.0;836;189
Apartamento;Barra da Tijuca;2;1;1;140;4500.0;910;420
Apartamento;Andaraí;1;0;1;30;1100.0;580;0
Apartamento;Pechincha;2;1;0;52;700.0;420;35
Apartamento;Recreio dos Bandeirantes;2;1;1;75;2300.0;1220;134
Apartamento;Freguesia (Jacarepaguá);2;1;0;55;1000.0;390;36
Apartamento;Água Santa;2;1;0;70;800.0;250;14
Apartamento;Lagoa;2;1;0;77;2700.0;1050;302
Apartamento;Copacabana;3;1;1;194;7500.0;1710;4641
Apartamento;Leblon;3;3;1;208;8000.0;1700;965
Quitinete;Copacabana;1;0;0;25;1200.0;318;0
Apartamento;Gávea;3;1;2;220;7000.0;3200;450
Apartamento;Barra da Tijuca;3;2;1;204;4600.0;2321;489
Apartamento;Barra da Tijuca;3;1;3;80;2800.0;1300;0
Apartamento;Barra da Tijuca;3;2;1;165;6500.0;1503;330
Apartamento;Leblon;3;2;1;140;4500.0;2552;595
Apartamento;Laranjeiras;3;1;1;150;3200.0;1504;301
Apartamento;Moneró;1;1;0;47;1200.0;290;49
Apartamento;Tijuca;2;1;0;70;1850.0;748;48
Apartamento;Leblon;2;1;1;82;5900.0;1128;300
Apartamento;Grajaú;2;0;0;70;1300.0;447;0
Apartamento;Recreio dos Bandeirantes;4;2;2;160;1900.0;830;0
Casa;Itanhangá;3;2;1;321;9000.0;1400;0
Casa;Taquara;3;1;0;100;2100.0;250;0
Apartamento;Barra da Tijuca;3;2;1;140;4900.0;1600;3580
